date,borough,complaints_total,unique_complaints,topk_ABANDONED_VEHICLE_cnt,topk_BLOCKED_DRIVEWAY_cnt,topk_HEAT_HOT_WATER_cnt,topk_ILLEGAL_PARKING_cnt,topk_NOISE___RESIDENTIAL_cnt,topk_NOISE___STREET_SIDEWALK_cnt,topk_OTHER_cnt,topk_STREET_CONDITION_cnt,topk_UNSANITARY_CONDITION_cnt,temp_mean,temp_max,temp_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_mean,wind_gust_mean,cloud_cover_mean,census_income_borough_median,census_population_borough_sum,airbnb_listing_count,airbnb_price_mean,airbnb_price_median,airbnb_rating_mean,airbnb_total_reviews,airbnb_entire_home_pct,airbnb_per_1000_people_borough,day_of_week,is_weekend,month,temp_mean_lag1,temp_mean_ma7,precipitation_sum_lag1,precipitation_sum_ma7,complaints_total_ma7,log_complaints_total,event_day
2024-01-16,BRONX,2488,2488,20,75,995,91,159,9,910,39,190,-2.895833333333333,-0.9,-6.3,9.2,4.2,3.5,14.075,25.52916666666667,87.41666666666667,37804.0,1438797,949,118.40779768177028,89.0,4.721171393341553,33587,0.410958904109589,0.6595788009010305,1,0,1,-3.4166666666666665,2.85,1.1,8.028571428571428,1990.571428571429,7.819636302367592,0
2024-01-17,BRONX,2610,2610,22,64,1116,137,122,2,958,39,150,-6.495833333333334,-4.2,-8.9,0.0,0.0,0.0,18.575,32.05833333333333,0.0,37804.0,1438797,949,118.40779768177028,89.0,4.721171393341553,33587,0.410958904109589,0.6595788009010305,2,0,1,-2.895833333333333,0.6511904761904762,9.2,4.928571428571429,2028.857142857143,7.867488568699128,0
2024-01-18,BRONX,3000,3000,22,58,1303,173,182,3,1073,32,154,-3.2875,0.4,-6.8,0.3,0.0,0.28,11.233333333333334,20.27083333333333,90.41666666666669,37804.0,1438797,949,118.40779768177028,89.0,4.721171393341553,33587,0.410958904109589,0.6595788009010305,3,0,1,-6.495833333333334,-0.45,0.0,4.971428571428571,2181.1428571428573,8.006700845440367,0
2024-01-19,BRONX,2126,2126,12,75,772,176,202,9,733,23,124,-2.533333333333333,-0.9,-4.6,2.7,0.0,1.89,10.870833333333332,18.995833333333334,97.625,37804.0,1438797,949,118.40779768177028,89.0,4.721171393341553,33587,0.410958904109589,0.6595788009010305,4,0,1,-3.2875,-1.405357142857143,0.3,4.785714285714286,2230.0,7.662467815200237,0
2024-01-20,BRONX,1984,1984,13,60,1030,157,186,12,451,12,63,-6.241666666666667,-3.3,-8.1,0.0,0.0,0.0,20.966666666666665,35.71666666666666,51.875,37804.0,1438797,949,118.40779768177028,89.0,4.721171393341553,33587,0.410958904109589,0.6595788009010305,5,1,1,-2.533333333333333,-3.561904761904762,2.7,1.9714285714285715,2307.285714285714,7.59337419312129,0
2024-01-21,BRONX,2115,2115,14,73,1054,153,250,14,461,11,85,-4.908333333333333,-1.1,-7.5,0.0,0.0,0.0,19.291666666666668,33.225,7.958333333333333,37804.0,1438797,949,118.40779768177028,89.0,4.721171393341553,33587,0.410958904109589,0.6595788009010305,6,1,1,-6.241666666666667,-4.254166666666667,0.0,1.9,2374.0,7.65728279297819,0
2024-01-22,BRONX,2330,2330,29,66,761,217,170,6,894,22,165,-2.3041666666666667,3.6,-6.9,0.0,0.0,0.0,12.245833333333332,21.375,51.66666666666666,37804.0,1438797,949,118.40779768177028,89.0,4.721171393341553,33587,0.410958904109589,0.6595788009010305,0,0,1,-4.908333333333333,-4.095238095238095,0.0,1.7428571428571429,2379.0,7.754052639035757,0
2024-01-23,BRONX,2120,2120,33,66,515,228,186,9,907,18,158,1.1166666666666667,4.6,-1.0,1.7,1.7,0.0,8.658333333333333,15.095833333333331,92.625,37804.0,1438797,949,118.40779768177028,89.0,4.721171393341553,33587,0.410958904109589,0.6595788009010305,1,0,1,-2.3041666666666667,-3.5220238095238097,0.0,0.6714285714285715,2326.428571428572,7.659642954564682,0
2024-01-24,BRONX,1845,1845,26,47,431,200,184,15,787,40,115,3.045833333333333,5.6,0.1,3.5,3.5,0.0,6.445833333333333,9.695833333333333,99.79166666666669,37804.0,1438797,949,118.40779768177028,89.0,4.721171393341553,33587,0.410958904109589,0.6595788009010305,2,0,1,1.1166666666666667,-2.1589285714285715,1.7,1.1714285714285713,2217.1428571428573,7.520776415062797,0
2024-01-25,BRONX,1925,1925,42,73,306,219,189,26,904,27,139,8.950000000000001,11.4,6.8,5.4,5.4,0.0,10.558333333333334,18.3,100.0,37804.0,1438797,949,118.40779768177028,89.0,4.721171393341553,33587,0.410958904109589,0.6595788009010305,3,0,1,3.045833333333333,-0.4107142857142857,3.5,1.9,2063.5714285714284,7.563200592358071,0
2024-01-26,BRONX,1645,1645,16,56,309,202,186,19,746,21,90,5.979166666666667,8.3,3.2,4.5,4.5,0.0,9.341666666666669,17.404166666666665,93.91666666666669,37804.0,1438797,949,118.40779768177028,89.0,4.721171393341553,33587,0.410958904109589,0.6595788009010305,4,0,1,8.950000000000001,0.805357142857143,5.4,2.157142857142857,1994.857142857143,7.406103381237015,0
2024-01-27,BRONX,1494,1494,17,63,285,258,283,53,467,13,55,5.383333333333333,8.6,2.8,0.0,0.0,0.0,8.533333333333333,15.733333333333334,95.29166666666669,37804.0,1438797,949,118.40779768177028,89.0,4.721171393341553,33587,0.410958904109589,0.6595788009010305,5,1,1,5.979166666666667,2.4660714285714285,4.5,2.157142857142857,1924.857142857143,7.309881485824786,0
2024-01-28,BRONX,1490,1490,12,74,345,182,273,24,489,14,77,3.3000000000000003,4.2,2.3,21.3,21.3,0.0,17.679166666666667,30.445833333333336,100.0,37804.0,1438797,949,118.40779768177028,89.0,4.721171393341553,33587,0.410958904109589,0.6595788009010305,6,1,1,5.383333333333333,3.638690476190477,0.0,5.200000000000001,1835.571428571429,7.307202314764738,0
2024-01-29,BRONX,1965,1965,33,73,399,240,210,11,861,21,117,2.8125,5.8,-0.6,0.7000000000000001,0.7000000000000001,0.0,17.587500000000002,30.320833333333336,79.33333333333333,37804.0,1438797,949,118.40779768177028,89.0,4.721171393341553,33587,0.410958904109589,0.6595788009010305,0,0,1,3.3000000000000003,4.369642857142857,21.3,5.3,1783.428571428571,7.583756300707112,0
